lat,lon
43.063125,-74.344394
43.299526,-73.724808
43.974875,-75.874256
44.704624,-73.469275
41.508093,-74.019906
42.074951,-78.441775
42.599519,-76.176493
44.704105,-73.453165
43.039607,-74.989239
43.311017,-76.42012
41.929308,-74.007944
43.33194,-76.408267
42.796726,-73.920343
43.014068,-75.029057
42.933307,-78.833008
43.003573,-75.042007
43.033556,-78.872855
43.177363,-77.611954
43.309822,-73.635054
42.903932,-77.33868
42.08987,-78.425077
42.590816,-76.213631
41.492112,-74.014175
43.002184,-78.173893
43.023453,-74.985039
43.165857,-78.693803
42.100824,-76.833526
43.176563,-77.602123
41.33548,-73.905357
42.956152,-74.17573
42.720678,-73.691336
42.4468,-76.497788
42.138603,-77.052887
43.088819,-75.251898
43.318438,-76.421866
42.806076,-73.917274
41.369649,-73.704161
41.112495,-74.036459
43.057756,-77.225807
43.098219,-75.244129
43.301122,-73.656666
42.10899,-75.9128
43.315725,-76.404438
42.924605,-76.558163
42.456819,-75.057289
42.111575,-75.94827
41.501993,-74.017808
42.865817,-73.75525
42.803326,-73.939242
41.936378,-74.002213
42.099424,-76.822406
43.055616,-76.148394
43.086439,-75.764847
43.326706,-76.426272
43.441423,-76.501047
43.171024,-78.694011
43.012979,-75.004119
42.659879,-73.765164
44.707211,-73.462894
42.114925,-75.942903
41.937813,-73.991214
43.044563,-77.328093
43.043781,-77.091519
42.09949,-79.242324
42.106825,-75.927339
42.092757,-79.251336
42.877078,-76.974543
42.093289,-78.434856
41.500243,-74.020437
42.949162,-76.556375
43.100842,-75.259241
41.929817,-74.024856
41.141608,-74.001339
43.044866,-76.135645
42.10627,-75.918347
43.448277,-76.512089
42.875196,-77.281183
43.034059,-77.090374
43.091019,-75.233911
43.974644,-75.909265
42.936507,-78.819625
42.092324,-76.825787
42.950446,-74.188825
42.929395,-74.196643
43.027606,-78.864935
44.685049,-73.454999
43.00215,-78.171365
40.910097,-73.857631
43.059166,-76.137399
42.111274,-76.821327
42.930907,-78.817274
41.929388,-73.998557
42.732078,-73.679242
42.785377,-73.697135
41.128895,-74.039903
42.469655,-75.059724
41.696243,-73.917676
44.705896,-73.479046
42.965305,-74.152135
42.262859,-73.810131
43.036473,-78.867006
43.030426,-77.098444
42.603437,-76.181966
43.032256,-78.879577
42.716645,-73.694672
43.974058,-75.899355
42.722645,-73.694547
43.048966,-76.131095
42.716712,-73.688804
42.444109,-75.04536
41.929409,-73.994338
42.247476,-73.743646
42.138604,-77.04648
